N,Quick Select
1,0.000001
1316,0.000010
2632,0.000019
3948,0.000028
5263,0.000037
6579,0.000046
7895,0.000056
9211,0.000065
10526,0.000074
11842,0.000083
13158,0.000093
14474,0.000101
15789,0.000119
17105,0.000120
18421,0.000129
19737,0.000137
21052,0.000150
22368,0.000156
23684,0.000165
25000,0.000174
